  TaskA2.cpp
C:\Visual Studio 4 ASM\TaskA2\TaskA2.cpp(7,2): error C4235: использовано нестандартное расширение: ключевое слово "__asm" данной архитектурой не поддерживается
C:\Visual Studio 4 ASM\TaskA2\TaskA2.cpp(9,3): error C2065: mov: необъявленный идентификатор
C:\Visual Studio 4 ASM\TaskA2\TaskA2.cpp(9,7): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "al"
C:\Visual Studio 4 ASM\TaskA2\TaskA2.cpp(9,7): error C2065: al: необъявленный идентификатор
C:\Visual Studio 4 ASM\TaskA2\TaskA2.cpp(9,14): error C2065: Перемещаем: необъявленный идентификатор
C:\Visual Studio 4 ASM\TaskA2\TaskA2.cpp(9,35): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "z"
C:\Visual Studio 4 ASM\TaskA2\TaskA2.cpp(9,37): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "в"
C:\Visual Studio 4 ASM\TaskA2\TaskA2.cpp(9,37): error C2065: в: необъявленный идентификатор
C:\Visual Studio 4 ASM\TaskA2\TaskA2.cpp(9,40): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "аккамулятор"
C:\Visual Studio 4 ASM\TaskA2\TaskA2.cpp(9,40): error C2065: аккамулятор: необъявленный идентификатор
C:\Visual Studio 4 ASM\TaskA2\TaskA2.cpp(9,63): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "al"
C:\Visual Studio 4 ASM\TaskA2\TaskA2.cpp(9,66): error C2065: al: необъявленный идентификатор
C:\Visual Studio 4 ASM\TaskA2\TaskA2.cpp(9,63): error C3861: al: идентификатор не найден
C:\Visual Studio 4 ASM\TaskA2\TaskA2.cpp(10,3): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "sbw"
C:\Visual Studio 4 ASM\TaskA2\TaskA2.cpp(10,3): error C2065: sbw: необъявленный идентификатор
C:\Visual Studio 4 ASM\TaskA2\TaskA2.cpp(10,8): error C2065: Расширяем: необъявленный идентификатор
C:\Visual Studio 4 ASM\TaskA2\TaskA2.cpp(10,27): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "до"
C:\Visual Studio 4 ASM\TaskA2\TaskA2.cpp(10,27): error C2065: до: необъявленный идентификатор
C:\Visual Studio 4 ASM\TaskA2\TaskA2.cpp(10,32): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "двойного"
C:\Visual Studio 4 ASM\TaskA2\TaskA2.cpp(10,32): error C2065: двойного: необъявленный идентификатор
C:\Visual Studio 4 ASM\TaskA2\TaskA2.cpp(10,49): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "слова"
C:\Visual Studio 4 ASM\TaskA2\TaskA2.cpp(10,60): error C2065: ax: необъявленный идентификатор
C:\Visual Studio 4 ASM\TaskA2\TaskA2.cpp(10,49): error C3861: слова: идентификатор не найден
C:\Visual Studio 4 ASM\TaskA2\TaskA2.cpp(11,3): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "dec"
