  hueta.cpp
C:\Visual Studio 4 ASM\hueta\hueta.cpp(19,9): error C4235: использовано нестандартное расширение: ключевое слово "__asm" данной архитектурой не поддерживается
C:\Visual Studio 4 ASM\hueta\hueta.cpp(20,13): error C2065: mov: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(20,17): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "al"
C:\Visual Studio 4 ASM\hueta\hueta.cpp(20,17): error C2065: al: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(21,13): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "sub"
C:\Visual Studio 4 ASM\hueta\hueta.cpp(21,13): error C2065: sub: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(21,17): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "al"
C:\Visual Studio 4 ASM\hueta\hueta.cpp(21,17): error C2065: al: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(22,13): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "mov"
C:\Visual Studio 4 ASM\hueta\hueta.cpp(22,13): error C2065: mov: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(22,17): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "ah"
C:\Visual Studio 4 ASM\hueta\hueta.cpp(22,17): error C2065: ah: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(23,13): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "sub"
C:\Visual Studio 4 ASM\hueta\hueta.cpp(23,13): error C2065: sub: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(23,17): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "ah"
C:\Visual Studio 4 ASM\hueta\hueta.cpp(23,17): error C2065: ah: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(24,13): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "sub"
C:\Visual Studio 4 ASM\hueta\hueta.cpp(24,13): error C2065: sub: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(24,17): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "al"
C:\Visual Studio 4 ASM\hueta\hueta.cpp(24,17): error C2065: al: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(24,21): error C2065: ah: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(25,13): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "mov"
C:\Visual Studio 4 ASM\hueta\hueta.cpp(25,13): error C2065: mov: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(25,17): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "bl"
C:\Visual Studio 4 ASM\hueta\hueta.cpp(25,17): error C2065: bl: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(26,13): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "mov"
C:\Visual Studio 4 ASM\hueta\hueta.cpp(26,13): error C2065: mov: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(26,17): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "bh"
C:\Visual Studio 4 ASM\hueta\hueta.cpp(26,17): error C2065: bh: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(27,13): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "sub"
C:\Visual Studio 4 ASM\hueta\hueta.cpp(27,13): error C2065: sub: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(27,17): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "bl"
C:\Visual Studio 4 ASM\hueta\hueta.cpp(27,17): error C2065: bl: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(27,21): error C2065: bh: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(28,13): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "sub"
C:\Visual Studio 4 ASM\hueta\hueta.cpp(28,13): error C2065: sub: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(28,17): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "al"
C:\Visual Studio 4 ASM\hueta\hueta.cpp(28,17): error C2065: al: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(28,21): error C2065: bl: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(29,13): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "cmp"
C:\Visual Studio 4 ASM\hueta\hueta.cpp(29,13): error C2065: cmp: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(29,17): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "al"
C:\Visual Studio 4 ASM\hueta\hueta.cpp(29,17): error C2065: al: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(30,13): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "je"
C:\Visual Studio 4 ASM\hueta\hueta.cpp(30,13): error C2065: je: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(30,16): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "process_replacement"
C:\Visual Studio 4 ASM\hueta\hueta.cpp(30,16): error C2065: process_replacement: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(30,37): error C2065: Если: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(30,46): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "разница"
C:\Visual Studio 4 ASM\hueta\hueta.cpp(30,46): error C2065: разница: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(30,61): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "разностей"
C:\Visual Studio 4 ASM\hueta\hueta.cpp(30,61): error C2065: разностей: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(30,86): error C2065: идем: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(30,95): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "к"
C:\Visual Studio 4 ASM\hueta\hueta.cpp(30,95): error C2065: к: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(30,98): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "замене"
C:\Visual Studio 4 ASM\hueta\hueta.cpp(30,98): error C2065: замене: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(31,13): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "cmp"
C:\Visual Studio 4 ASM\hueta\hueta.cpp(31,13): error C2065: cmp: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(31,17): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "al"
C:\Visual Studio 4 ASM\hueta\hueta.cpp(31,17): error C2065: al: необъявленный идентификатор
C:\Visual Studio 4 ASM\hueta\hueta.cpp(32,13): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "je"
